prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
204.50.64.0/23,N/A,AS11342,['AS812'],High,"The origin AS11342 and the authorized AS812 are both owned by Rogers Communications Canada Inc., indicating a strong organizational relationship. Both entities are Canadian, and the prefix is a more specific announcement of a larger block announced by AS812, suggesting a delegated downstream announcement likely resulting from a prefix transfer or ownership change within the same organization.",Delegated downstream announcement resulting from a prefix transfer or ownership change within the same organization.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
205.177.0.0/16,N/A,AS6621,"['AS3491', 'AS31713']",Medium,"There is no direct evidence of ownership, sibling, or strong business relationship between AS6621 and the authorized ASes AS3491 and AS31713. The prefix is primarily announced by AS3491, and AS6621's announcement is not covered by the ROA. Nonetheless, RIPEstat data shows more specific routes originated by AS3491 and historical delegated or upstream‑downstream announcements between these ASes, indicating an indirect operational connection that may explain the conflict without implying a malicious hijack.",Delegated or upstream‑downstream announcement causing a multi‑origin conflict with partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
205.177.62.0/24,N/A,AS6621,"['AS3491', 'AS31713']",Medium,"AS6621 is announcing the prefix 205.177.62.0/24 while the ROAs authorize AS3491 and AS31713. The prefix belongs to a larger block primarily allocated to AS3491 (PCCW Global) and has been announced by AS6621 for an extended period, suggesting a possible delegated or upstream‑downstream relationship, potentially a customer‑provider arrangement. However, there is no publicly documented ownership or explicit provider‑customer agreement, and the relationship is inferred from shared US geolocation and block ownership rather than confirmed.",Delegated/upstream-downstream announcement,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Partnership/Delegation without Publicly Visible Agreements)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
205.246.64.0/20,N/A,AS6062,['AS6079'],Medium,"The origin AS (AS6062) announces a more specific prefix within 205.246.64.0/20 while the authorized AS in the ROA (AS6079) announces the broader prefix. Both ASes are registered in the US (ARIN region) and there are indications of a historical prefix transfer or delegated upstream‑downstream relationship, but no concrete evidence of a direct provider‑customer, sibling, or same‑organization link.",A prefix transfer or delegated upstream‑downstream relationship resulted in the ROA not reflecting the current origin.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
205.246.72.0/21,N/A,AS6062,['AS6079'],High,"AS6062 announces the more specific prefix 205.246.72.0/21 within the less specific allocation owned by AS6079, indicating a delegated or customer‑provider relationship; both ASes are geographically co‑located in Ashburn, US, and have historical ties through past mergers or acquisitions, suggesting a strong operational linkage that makes the ROA conflict likely benign.",Delegated upstream-downstream announcement or legacy prefix transfer within a related organization.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same organization
206.161.0.0/16,N/A,AS23304,"['AS3491', 'AS31713']",Medium,"The origin AS23304 announces a prefix whose ROAs authorize AS3491 and AS31713. While there is no direct evidence of common ownership, the announcement pattern suggests a delegated or upstream-downstream relationship, possibly involving multi‑origin usage and partial ROA coverage. Historical prefix management and regional overlap provide some indication of a business connection, but the lack of confirmed provider‑customer or sibling ties keeps the assessment at a medium confidence of benign conflict.","Delegated/upstream-downstream announcements, possibly involving multi-origin with partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
206.161.103.0/24,N/A,AS23304,"['AS3491', 'AS31713']",Medium,"AS23304 is not directly owned by or a sibling of the authorized ASes AS3491 and AS31713, but the prefix belongs to a larger block (206.161.0.0/16) managed by AS3491, suggesting a possible upstream/downstream delegation or multi‑origin scenario. No concrete provider‑customer or same‑organization relationship is confirmed, leaving only circumstantial evidence of a business link.","Delegated/upstream-downstream announcement, possibly involving multi‑origin with partial ROA coverage.","['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
207.114.0.0/17,N/A,AS53302,['AS17054'],High,"AS53302 (Baltimore County Government) announces the more specific 207.114.0.0/17 prefix that is covered by a ROA for AS17054 (Expedient). The prefix was transferred from DataPoint to Expedient, indicating an ownership change, and the two ASes are likely in a customer‑provider relationship, with the government using services from Expedient. Their geographic proximity in the United States (Baltimore) further supports a benign configuration rather than a malicious hijack.",Prefix transfer or ownership change leading to a downstream announcement by a customer of the authorized AS.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
207.114.31.0/24,N/A,AS53302,['AS17054'],High,"AS53302 (Baltimore County Government) announces a more specific prefix of a block owned by AS17054 (Expedient). Both ASes are US‑based and have a historical operational link through a previous transfer of the larger 207.114.0.0/17 prefix between DataPoint and Expedient, indicating a delegated upstream‑downstream or customer‑provider relationship and suggesting a legitimate delegation rather than a malicious hijack.",Prefix transfer or delegated upstream‑downstream announcement between the parties.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Organizational Affiliation or Shared Services)']",strong relationship
207.170.172.0/22,N/A,AS7018,"['AS996', 'AS7029']",Medium,"AS7018 (AT&T) announces the prefix but is not directly related to the authorized ASes AS7029 (Windstream) or AS996 (JY Mobile). All three ASes operate in the United States, yet there is no evidence of a provider‑customer, sibling, or same‑organization relationship. The conflict likely stems from delegated or upstream/downstream arrangements that resulted in a misconfiguration, causing AS7018 to announce a prefix not covered by its ROA.","A misconfigured delegated announcement where AS7018 announces a prefix not covered by its ROA, possibly due to upstream/downstream arrangements with the authorized ASes.","['Others', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Undocumented Peering/Transit Arrangement)', 'Multi-Origin with Partial ROA Coverage']",same region
207.170.175.0/24,N/A,AS7018,"['AS996', 'AS7029']",Medium,"AS7018 (AT&T) and the authorized ASes AS996 and AS7029 are US‑based telecom operators that may have upstream/downstream or delegated relationships, leading to a ROA mismatch. While there is no direct evidence of common ownership, the shared geographic region and typical business interactions among large ISPs suggest a possible benign conflict rather than a malicious hijack.",Delegated or upstream-downstream announcement leading to a ROA mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
207.176.0.0/17,N/A,AS23304,"['AS3491', 'AS31713']",Medium,"The origin AS (AS23304) does not have a direct organizational link with the authorized ASes (AS3491, AS31713), but there is circumstantial evidence of a possible upstream/downstream relationship and geographic overlap, as PCCW Global (AS3491) operates in both Hong Kong and the United States where AS23304 is based. The prefix is primarily announced by the authorized AS, and the ROA coverage is partial, suggesting a delegated announcement rather than a malicious hijack.",Delegated / Upstream-Downstream Announcements,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
207.176.38.0/24,N/A,AS23304,"['AS3491', 'AS31713']",Medium,"There is no direct ownership, sibling, or provider‑customer relationship between AS23304 and the authorized ASes AS3491 and AS31713. Both operate in the United States, and it is possible that AS23304 is a downstream customer or delegated holder of the prefix from one of the authorized ASes, resulting in a partial ROA mismatch. This circumstantial evidence suggests a potential business link but lacks concrete confirmation.",Delegated/upstream‑downstream announcement causing a partial ROA mismatch.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
207.226.0.0/16,N/A,23304,"['3491', '31713']",Low,"The origin AS 23304 (Datotel LLC) has no known organizational or business relationship with the authorized ASes 3491 (PCCW Global) and 31713 (Gateway Communications). Although RIPEstat shows multiple route objects where AS3491 announces the prefix on behalf of customers, there is no concrete evidence of a customer‑provider or sibling link, and the entities operate in different regions. Consequently, the mismatch is more likely a misconfiguration or potential hijack rather than a benign delegated announcement.","The mismatch likely stems from delegated or upstream‑downstream announcements, possibly involving third‑party CDN or cloud edge services.","['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)']",no relationship
207.226.184.0/21,N/A,AS23304,"['AS3491', 'AS31713']",Medium,"The origin AS23304 is not listed in the ROAs, which authorize AS3491 and AS31713. While there is no clear ownership or direct contractual link, the announced /21 is a more‑specific of a /16 announced by AS3491, and AS23304 has been announcing the prefix since early 2025, suggesting a possible delegated or customer‑provider arrangement. However, the lack of concrete evidence of a strong business or organizational relationship prevents a higher benign rating.",Delegated/upstream‑downstream announcement or multi‑origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
209.200.229.0/24,N/A,AS834,['AS215672'],High,"AS834 and the authorized AS215672 appear to be part of the same organization (IPXO LLC) and operate in a delegated or upstream‑downstream relationship; AS834 maintains route objects for prefixes originally announced by AS215672, indicating an administrative or ownership transfer rather than a malicious hijack.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same organization
209.200.233.0/24,N/A,AS62240,['AS26042'],Medium,"Both AS62240 and AS26042 are active and visible in the global routing table, but there is no documented same‑organization or direct provider‑customer relationship. IRR records show that the prefix has been announced by both ASes historically, indicating a delegated or upstream‑downstream arrangement and possible past ownership transfer. No malicious activity patterns are observed, suggesting the invalidity stems from incomplete ROA updates rather than an intentional hijack.",Delegated/upstream-downstream announcements with partial ROA coverage across multiple origins,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",weak relationship
209.237.64.0/19,N/A,AS36012,['AS25899'],High,"The origin AS AS36012 and the authorized AS AS25899 are established network providers located in the same region (Oregon, USA). AS36012 announces a more specific prefix within the block owned by AS25899, indicating a delegated or downstream relationship, likely a customer‑provider or partnership arrangement. No recent changes or suspicious patterns are observed, suggesting a stable, long‑standing operational relationship rather than a hijack.",Delegated/upstream‑downstream announcement due to a customer‑provider or partnership relationship.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
209.237.76.0/24,N/A,AS36012,['AS26565'],High,"Both the origin AS (AS36012, HUNTER COMMUNICATIONS) and the authorized AS (AS26565, City of Medford) are located in Medford, US, and the announced /24 is a more specific of a larger block that is known to be a Level 3 customer route, indicating a delegated or upstream‑downstream relationship. This geographic proximity combined with the likely customer‑provider arrangement suggests the invalid announcement is a benign conflict rather than a malicious hijack.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
209.8.0.0/15,N/A,AS23304,"['AS3491', 'AS31713']",Medium,"The origin AS AS23304 is not directly owned by or a known customer of the authorized ASes AS3491 and AS31713, and there is no clear organizational link. However, the presence of multiple ROAs for the same prefix, historical announcements by AS3491, and the possibility of delegated or upstream-downstream relationships suggest the announcement may stem from a misconfiguration or a legitimate upstream delegation rather than a malicious hijack.",Delegated/upstream-downstream announcement or misconfiguration.,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change']",weak relationship
209.9.172.0/22,N/A,AS23304,"['AS3491', 'AS31713']",Medium,"The origin AS (AS23304) does not share ownership or a direct sibling relationship with the authorized ASes (AS3491, AS31713). However, the announced prefix is part of a larger block that is announced by AS3491, and both parties operate in the United States, suggesting a possible upstream‑downstream or delegated arrangement. No concrete evidence of a strong business relationship is available, leaving the situation ambiguous but not clearly malicious.","Multi‑origin announcement with partial ROA coverage, possibly due to delegated upstream‑downstream relationships.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
212.115.126.0/24,N/A,AS16509,"['AS401838', 'AS402236', 'AS6079']",High,"The origin AS AS16509 (Amazon) announces the prefix, while the ROAs list AS401838 and AS402236 (likely Amazon‑related customers or subsidiaries) and AS6079 (a US ISP). This pattern reflects a provider‑customer or delegated relationship, reinforced by a recent prefix transfer history and the fact that all involved ASes operate in the United States, indicating a likely benign conflict.",The route results from delegated/upstream‑downstream announcements linked to provider‑customer relationships and recent prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
212.115.127.0/24,N/A,AS16509,['AS40812'],Medium,"The origin AS (AS16509, Amazon) announced the prefix while the ROA authorizes AS40812 (XTC‑WIRELESS). A recent prefix transfer suggests a business relationship, but there is no clear evidence of a same‑organization, provider‑customer, or sibling link. The lack of overt malicious signs and the presence of a possible misconfiguration or outdated ROA keep the conflict from being classified as clearly benign.","Recent prefix transfer causing an outdated ROA, possibly combined with indirect relationship misconfiguration.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Indirect Relationship Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
212.24.224.0/19,N/A,AS215524,['AS29255'],High,"The origin AS (AS215524) and the authorized AS (AS29255) belong to the same organization or parent‑subsidiary group in Saudi Arabia, and a recent prefix transfer or ownership change appears to have occurred. The new origin is announcing a more specific prefix, indicating a delegated or upstream‑downstream announcement setup, and the ROA was not updated accordingly, suggesting a benign misconfiguration rather than a malicious hijack.",Prefix transfer or ownership change resulting in a delegated/upstream‑downstream announcement without updating the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
213.145.83.0/24,N/A,AS215071,['AS62553'],Medium,"The origin AS (AS215071) and the authorized AS (AS62553) are both registered in the United States and share the same geographic region (Dallas area). While both ASes actively announce prefixes, there is no direct evidence of ownership, customer‑provider, or sibling relationships. The situation likely reflects a delegated or upstream/downstream arrangement, possibly involving third‑party hosting, leading to a multi‑origin announcement with partial ROA coverage.","Multi‑origin announcement with partial ROA coverage, likely due to delegated or upstream/downstream relationship.","['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., CDNs, cloud edges, or hosting services)', 'Multi-Origin with Partial ROA Coverage']",same region
216.215.0.0/18,N/A,AS25764,['AS19800'],High,"The origin AS (AS25764) and the authorized AS (AS19800) have a strong organizational link due to a recent merger/acquisition, indicating a likely prefix transfer or ownership change. Both ASes operate in the United States and have historically exchanged traffic, suggesting a provider‑customer or sibling relationship, and the announcement aligns with typical delegated upstream/downstream practices rather than a malicious hijack.",Merger/acquisition leading to a delegated upstream/downstream prefix transfer.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",same organization
216.215.8.0/24,N/A,AS25764,['AS19800'],High,"The origin AS 25764 (Ziply Fiber) and the authorized AS 19800 (Grant County Public Utility District) are both US‑based and have a documented business link: a merger/acquisition and a long‑standing provider‑customer relationship, with AS25764 consistently announcing the prefix since 2009 on behalf of AS19800. This upstream/downstream delegation and the shared operational history indicate the invalid ROA is likely due to outdated ROA data rather than a malicious hijack.",Upstream delegation from AS25764 to AS19800 due to a provider‑customer relationship and prior merger.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
216.86.72.0/23,N/A,AS14103,['AS22379'],High,"AS14103 announces the /23 prefix while the ROA authorizes AS22379, indicating that AS22379 holds the original allocation and AS14103 is announcing more specific routes as a delegated or downstream provider; both ASes operate in the United States, supporting a close geographic and operational relationship and suggesting a benign delegated announcement for traffic engineering.",Delegated upstream‑downstream announcement (possible prefix transfer) from AS22379 to AS14103.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches', 'Prefix Transfer / Ownership Change']",strong relationship
216.86.73.0/24,N/A,AS14103,['AS22379'],Medium,"The /24 prefix is part of the larger 216.86.72.0/21 block that was transferred to Manifold Services Inc. (AS22379). The current origin AS (AS14103) is announcing the prefix, and both ASes are located in the United States, specifically the Jackson region, indicating geographic proximity. The history of a prefix transfer suggests a possible operational hand‑off or misconfiguration after the ownership change, but there is no concrete evidence of a direct business relationship or shared organization between the two ASes.",Prefix transfer or ownership change causing a misconfiguration.,"['Others', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",same region
23.27.241.0/24,N/A,AS174,['AS214432'],Low,"The origin AS174 (Cogent Communications) and the authorized AS214432 (Zhilian Technology) belong to different organizations and operate in different countries (US vs China). No customer‑provider, sibling, or other business relationship is evident, and there is no shared infrastructure. Although the prefix may have been transferred or announced by multiple origins, the lack of documented linkage suggests the mismatch is not benign.",Possible prefix transfer or multi‑origin announcement causing ROA mismatch.,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change']",no relationship
31.57.183.0/24,N/A,AS29802,['AS133337'],Low,"The origin AS (AS29802) and the authorized AS (AS133337) are located in different countries (US vs Indonesia) and belong to unrelated organizations, with no known business or infrastructural relationship. Although the prefix has been announced by both ASes in the past, this history likely reflects a recent transfer or misconfiguration rather than a coordinated, benign arrangement.",Possible misconfiguration or recent ownership transfer leading to conflicting announcements.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)']",no relationship
31.59.244.0/24,N/A,AS29802,['AS198831'],Medium,"The origin AS AS29802 is not covered by the ROA, which authorizes AS198831 for the prefix. There are hints of a possible relationship, such as a potential recent prefix transfer or delegated/upstream‑downstream announcements, and both ASes operate in the same European region, but no concrete evidence of a same‑organization or direct provider‑customer link is available, leaving the conflict ambiguous.",Origin-AS mismatch likely caused by a recent prefix transfer or misconfigured multi‑origin announcement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
35.62.0.0/16,N/A,AS397797,['AS237'],Medium,"Both the origin AS (AS397797) and the authorized AS (AS237) are registered in the United States, suggesting a possible regional relationship. While the geographic proximity and the fact that AS237 is a major provider hint at a potential customer‑provider or upstream‑downstream link, there is no concrete evidence confirming such a relationship, leading to a moderate assessment of benign likelihood.",Misconfiguration related to a delegated announcement or recent prefix ownership/provider change.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
35.62.0.0/21,N/A,AS397797,['AS237'],High,"AS397797 announces the more specific 35.62.0.0/21 prefix that falls within the larger block authorized to AS237. Both ASes are US‑based and the pattern matches a delegated or upstream‑downstream arrangement, typical of a customer‑provider or sibling relationship, and may be used for traffic engineering. No evidence of a hostile hijack is present, and the situation is consistent with a benign misconfiguration where the ROA has not been updated.","Delegated/upstream‑downstream announcement of a more specific prefix, likely for traffic engineering, with an outdated ROA.","['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
37.202.221.0/24,N/A,AS4001163,['AS211826'],Medium,"AS4001163, which has limited visibility and is not well-documented, announces the prefix that is authorized to AS211826, a well‑known holder actively announcing multiple prefixes. No direct provider‑customer, sibling, or same‑organization relationship is evident. However, both ASes belong to the same /17 block (37.202.128.0/17) and the prefix was previously announced by AS211826, suggesting a possible historical or administrative link that could explain the invalid announcement.",Possible misconfiguration or administrative oversight after a prefix transfer or organizational change.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",weak relationship
38.254.102.0/24,N/A,AS42183,['AS215900'],Medium,"There is no clear evidence of a strong organizational or business relationship between AS42183 and the authorized AS215900; the naming similarity cited is weak, and the ASes appear to belong to different entities. However, the prefix has been announced by both ASes in the past, suggesting a possible delegated upstream‑downstream arrangement or a recent ownership/transfer event, which provides some indication of a partial connection.",Possible delegated upstream-downstream announcement or recent ownership transfer.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Shared Operational Scope within a Larger Organization)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
38.50.0.0/22,N/A,AS174,['AS328073'],High,"The origin AS174 (Cogent Communications) and the authorized AS328073 (Ion Telecom) have a clear provider‑customer relationship; AS174 is the upstream provider and AS328073 is its customer. IRR records and RIPEstat data show the prefix is registered to the customer and the maintainer of AS174 also manages routes for AS328073, indicating a close administrative tie. This suggests the invalid announcement likely results from a delegated upstream‑downstream announcement where the ROA was not updated to include the provider, a benign misconfiguration.",Delegated upstream‑downstream announcement with a misconfigured ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.10.0/23,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider for AS328073 (Ion Telecom), and the prefix is registered to a Cogent customer, indicating a clear provider‑customer relationship; RIPEstat data shows administrative linkage, suggesting the invalid route is likely due to a misconfiguration rather than a malicious hijack.",Delegated/upstream‑downstream announcement due to a misconfiguration in the ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.11.0/24,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the upstream provider for AS328073 (Ion‑Telecom‑AS). The provider announces the prefix on behalf of its downstream customer, a common delegated upstream‑downstream practice supported by RIPEstat data and the fact that both ASes operate the prefix in the same country (Libya).",Provider‑customer relationship where the upstream AS174 announces the prefix for its downstream customer AS328073.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.12.0/22,N/A,AS174,['AS328073'],High,"The origin AS174 (Cogent Communications) and the authorized AS328073 (Ion‑Telecom‑AS) have a clear provider‑customer relationship; AS174 is the upstream provider and AS328073 is its customer. The prefix is registered to a Cogent customer, and IRR/RIPEstat data show AS174’s maintenance object used for routes originated by AS328073, indicating a managed relationship. The ROA only authorizes AS328073, so AS174’s announcement reflects a common operational practice where the provider announces the customer’s prefix, likely due to incomplete ROA configuration. This consistent high visibility and relationship suggest a benign conflict.",Provider‑customer relationship leading to incomplete ROA configuration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.14.0/23,N/A,AS174,['AS328073'],High,"The origin AS174 (Cogent Communications) and the authorized AS328073 (Ion‑Telecom‑AS) have a clear provider‑customer relationship; AS328073 is a customer of Cogent and the prefix is registered to the customer but announced by the provider, which is a common operational practice. RIPEstat and IRR records show the routes are maintained by MAINT‑AS174 and explicitly describe the customer relationship, indicating a legitimate delegation rather than a malicious hijack.",Provider‑customer relationship where the provider announces the customer’s prefix.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.14.0/24,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the upstream provider for AS328073 (Ion Telecom), and the ROA is maintained by AS174, indicating a delegated upstream‑downstream announcement. RIPEstat data and route descriptions confirm the customer‑provider relationship, and the prefix is registered in the region where AS328073 operates, supporting the legitimacy of the announcement.",Provider‑customer delegated announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.16.0/22,N/A,AS174,['AS328073'],High,"The origin AS (AS174, Cogent Communications) and the authorized AS (AS328073, Ion Telecom) have a clear provider‑customer relationship. RIPEstat data shows AS328073's routes are maintained by MAINT‑AS174, and IRR records describe Ion Telecom as a Cogent customer. This strong administrative and business link indicates the invalid route likely results from a delegated upstream‑downstream announcement or misconfiguration rather than a malicious hijack.",The provider (AS174) is announcing the prefix on behalf of its customer (AS328073) due to a delegated upstream‑downstream configuration or ROA misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.16.0/23,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) and AS328073 (Ion Telecom) have a strong provider‑customer relationship; AS328073 is a downstream customer of AS174, and the prefix is registered to an Ion Telecom customer of Cogent. Historical data shows a prefix transfer from PSINet to Cogent and that AS328073 has been announcing the prefix since 2023, indicating delegated upstream‑downstream announcements. This close administrative and operational tie suggests the ROA is outdated, causing the invalid status.","The ROA is outdated, not including AS174 as an authorized origin for a delegated upstream‑downstream announcement.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.17.0/24,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider of AS328073 (Ion‑Telecom‑AS), establishing a clear provider‑customer relationship. The announced /24 is a more specific prefix of the block authorized for AS328073 in the ROA, indicating a delegated upstream announcement. RIPEstat data shows the prefix is maintained by MAINT‑AS174 and both ASes are located in Libya, reinforcing the close administrative and geographic tie.","Delegated upstream announcement from provider AS174 to its customer AS328073, with incomplete ROA configuration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.18.0/23,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider for AS328073 (Ion Telecom), and the prefix is registered to the customer, indicating a delegated/upstream‑downstream announcement. RIPEstat data and shared country (Libya) further confirm a close operational relationship, making the invalid route likely a benign conflict.",Delegated / Upstream-Downstream Announcements.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.19.0/24,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider of AS328073 (Ion‑Telecom), and RIPEstat data shows AS328073's routes are maintained by MAINT‑AS174, indicating a close administrative and operational relationship. The announced /24 is a more specific of the ROA's prefix, consistent with a delegated upstream‑downstream announcement, and both ASes operate in the same country (Libya), further supporting a benign scenario.",Delegated upstream‑downstream announcement due to provider‑customer relationship between AS174 and AS328073.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.20.0/22,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider for AS328073 (Ion‑Telecom‑AS); IRR and RIPEstat data show that AS328073's routes are maintained by MAINT‑AS174 and are described as a Cogent customer, indicating a legitimate provider‑customer delegation and suggesting the ROA invalidity is due to misconfiguration rather than malicious intent.",Provider‑customer relationship where the provider announces the customer's prefix.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.20.0/23,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider for AS328073 (Ion Telecom), a known customer relationship confirmed by RIPEstat maintenance data and registration records. The prefix is announced by the provider on behalf of the customer, a typical delegated/upstream-downstream scenario, indicating the RPKI invalidity likely stems from a misconfiguration rather than a malicious hijack.",Delegated / upstream-downstream announcement causing a misconfiguration in the ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
38.50.21.0/24,N/A,AS174,['AS328073'],High,"AS174 (Cogent Communications) is the provider of AS328073 (Ion‑Telecom), and the more specific /24 prefix is announced by the provider on behalf of its customer, a common delegated upstream‑downstream arrangement. The ROA lists only AS328073, so the provider's announcement appears invalid, but this reflects a typical ROA misconfiguration rather than malicious intent.",Provider‑customer delegated announcement causing ROA misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
