prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
27.254.216.0/24,N/A,AS58955,['AS9891'],Medium,"Both the origin AS (AS58955) and the authorized AS (AS9891) are registered in Thailand and belong to the APNIC region, indicating geographic proximity. The authorized AS holds the larger prefix, while the origin AS announces a more specific /24, which is typical of upstream‑downstream or delegated arrangements. However, there is no publicly documented provider‑customer, sibling, or same‑organization relationship, so the evidence points to a possible but unconfirmed operational link.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Others (Potential Past or Intended Relationship/Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",,
31.6.14.0/24,N/A,AS199695,['AS215764'],Low,"There is no evidence of a direct business or organizational relationship between AS199695 (PT Anym Network Indonesia) and the authorized AS215764 (V4GUARD). The ASes are registered in different countries (Indonesia and Mexico) and operate in distinct regions, with no known customer‑provider, sibling, or shared infrastructure ties. Consequently, the invalid announcement is unlikely to be a benign delegation and is more consistent with a hijack.",Likely a BGP hijack rather than a legitimate delegated announcement.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (Potential lack of ROA updates for legitimate delegations)']",,
35.206.240.0/24,N/A,AS12400,"['AS15169', 'AS19527', 'AS396982']",Medium,"The origin AS12400 (Partner Communications Ltd.) is not directly associated with the Google‑owned ASes listed in the ROAs, and the prefix belongs to a larger block owned by Google, suggesting a potential mismatch. However, the prefix is primarily visible in Taiwan, indicating a possible upstream‑downstream or CDN edge relationship where the downstream AS announces a delegated sub‑prefix without an updated ROA, which can occur in benign operational contexts.","Delegated/upstream‑downstream announcement (e.g., CDN edge) without corresponding ROA update.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",,
37.1.228.0/24,N/A,AS834,"['AS29802', 'AS61317']",High,"The origin AS834 (IPXO LLC) has a close operational relationship with the authorized ASes AS29802 and AS61317 (both part of Hivelocity LLC). Transfer records show a recent prefix ownership change involving IPXO UK Limited and Hivelocity Inc, and maintenance objects link the prefix to AS834, indicating a legitimate delegation or upstream/downstream announcement within related organizations, making the conflict benign.",Delegated or upstream/downstream announcement resulting from a recent prefix transfer/ownership change within related organizations.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Organizational Structure Complexity)']",,
37.1.231.0/24,N/A,AS834,"['AS29802', 'AS61317']",High,"The origin AS834 and the authorized ASes AS29802 and AS61317 are closely linked through organizational ties: AS61317 was transferred from an IPXO subsidiary, the holder records show connections between IPXO and Hivelocity, and the prefix’s maintenance objects are shared between AS834 and AS61317. These indicators point to a customer‑provider or sibling relationship, making the RPKI invalidity most likely a result of a recent delegation or internal routing change rather than a malicious hijack.",A recent delegation or transfer between related ASes caused misconfigured ROA entries.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Organizational/Subsidiary Relationship Misalignment with ROA Configurations)', 'Multi-Origin with Partial ROA Coverage']",,
37.230.63.0/24,N/A,AS215817,['AS215152'],Medium,"Both AS215817 and AS215152 are registered with the RIPE NCC and operate in the United Kingdom, indicating regional proximity. No direct evidence links them as the same organization, customer‑provider, or sibling entities; the numeric closeness of their AS numbers and similar naming provide only weak hints of a relationship. The invalid route is likely the result of a delegated or upstream‑downstream announcement combined with a multi‑origin partial ROA coverage misconfiguration, leading to a moderate likelihood of a benign conflict.",Delegated/upstream-downstream announcement leading to a multi‑origin partial ROA coverage misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional/Operational Proximity Misconfiguration)']",,
41.76.96.0/21,N/A,AS327726,['AS37334'],Medium,"Both the origin AS (AS327726) and the authorized AS (AS37334) are located in South Africa and are registered with AFRINIC, indicating a regional proximity. Historical data shows the prefix has been announced by AS37334, and the recent appearance of AS327726 may stem from an operational change or misconfiguration rather than a malicious hijack. No concrete evidence of a provider‑customer, sibling, or same‑organization relationship is available, but the shared geography and registry suggest a possible benign conflict.",Operational misconfiguration or delegated upstream/downstream announcement resulting in partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",,
45.152.189.0/24,N/A,AS61317,['AS834'],Medium,"The origin AS (AS61317) and the authorized AS (AS834) share the same maintainer (MAINT-AS834), indicating an administrative relationship, and recent prefix transfer or ownership change activity is evident. However, there is no direct evidence of a provider‑customer, sibling, or same‑organization relationship, suggesting the invalid route is likely a benign misconfiguration rather than a malicious hijack.",Likely a misconfiguration resulting from a recent prefix transfer/ownership change and delegated upstream announcement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration given IRR records)']",,
45.178.248.0/22,N/A,AS26905,['AS269051'],Medium,"The origin AS (AS26905) and the authorized AS (AS269051) are different entities but both operate in Brazil, and their AS numbers are numerically close, suggesting a possible operational relationship. AS269051 has historically announced the prefix, while AS26905 now announces it without a matching ROA, indicating a likely misconfiguration such as a delegated or upstream‑downstream announcement. No direct provider‑customer, sibling, or ownership link is evident, so the conflict is probably benign but not with high confidence.",Delegated/upstream-downstream announcement causing a misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration given Operational Proximity)', 'Prefix Transfer / Ownership Change']",,
45.178.248.0/23,N/A,AS26905,['AS269051'],Medium,"The origin AS (AS26905) announces a /23 that is a more specific of the /22 covered by the ROA authorizing AS269051. Both ASes operate in Brazil, suggesting a possible upstream‑downstream or business relationship, but there is no concrete evidence of same‑organization ownership or a confirmed provider‑customer link. The mismatch likely stems from a configuration oversight where a downstream AS announces a more specific prefix without an updated ROA.",Configuration error or incomplete ROA where a downstream AS announces a more specific prefix without proper ROA update.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Historical/Organizational Connection Inferred)']",,
45.178.250.0/23,N/A,AS26905,['AS269051'],Medium,"Although the origin AS (AS26905) differs from the authorized AS in the ROA (AS269051), there is no direct evidence of a shared organization. However, both ASes appear to operate in Brazil, suggesting geographic proximity, and the pattern could stem from a delegated upstream/downstream arrangement or a misconfiguration involving related ASes. This circumstantial evidence points to a possible benign conflict, but the lack of confirmed relationship keeps the assessment at a medium confidence level.",Possible misconfiguration or delegated upstream/downstream announcement between related ASes.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Complex AS Relationship not explicitly documented)']",,
45.183.177.0/24,N/A,AS273744,['AS271609'],Medium,"Both the announcing AS273744 and the ROA‑authorized AS271609 are registered in Brazil, indicating a same‑region relationship. The announced /24 is a sub‑prefix of the space covered by the ROA, which is typical of delegated or upstream‑downstream arrangements. However, there is no public evidence of a direct provider‑customer, sibling, or same‑organization link, and the change could stem from a recent ownership transfer or an ROA configuration lag. Consequently the situation is consistent with a benign conflict of medium confidence.","Delegated/upstream‑downstream announcement, possibly due to outdated ROA configuration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
45.184.136.0/24,N/A,AS269719,['AS269382'],High,"Both AS269719 and the authorized AS269382 are registered under LACNIC and operate in Brazil, suggesting a close business relationship such as a customer‑provider or downstream arrangement. The announced /24 is a more specific prefix within the ROA's /22, indicating a delegated downstream announcement that results in an RPKI‑invalid route but is likely benign.",Delegated upstream-downstream announcement with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
45.195.136.0/24,N/A,AS40065,['AS138456'],Medium,"The origin AS40065 and the authorized AS138456 have no known direct business relationship; they are registered in different regions, though the prefix is primarily visible in Seychelles, suggesting a possible regional or third‑party hosting link. Past announcements by AS138456 indicate it is the legitimate holder, and the current announcement by AS40065 may stem from delegated/upstream announcements or a recent ownership change, leading to a misconfiguration. The lack of concrete provider‑customer or same‑organization ties keeps the confidence at a medium level.",Delegated/upstream announcement or recent ownership change causing a misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Third-Party Announcements (e.g., cloud edges, hosting)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
45.198.3.0/24,N/A,AS214033,['AS17561'],Medium,"AS214033 announces the prefix 45.198.3.0/24 while the ROA authorizes AS17561. No direct customer‑provider or sibling relationship is evident, but historical data shows the prefix was previously originated by AS139879 before AS214033, and the prefix is geolocated to Seychelles, indicating regional overlap. IRR records list both AS214033 and AS17561 as origins, suggesting a possible shared infrastructure or delegated announcement. These points favor a benign misconfiguration scenario rather than a malicious hijack, though the relationship is not definitively established.",Delegated/upstream-downstream announcements or multi-origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)']",,
45.198.53.0/24,N/A,AS207990,['AS17561'],Medium,"The origin AS207990 and the authorized AS17561 are distinct organizations with no publicly documented direct relationship; both are active in the same prefix space and a possible upstream‑downstream or hosting arrangement could explain the invalid announcement, though evidence is limited.","Delegated / Upstream-Downstream Announcements (e.g., hosting or third-party service agreement)","['Delegated / Upstream-Downstream Announcements', 'Routing Policy / Deaggregate Mismatches', 'Third-Party Announcements (e.g., hosting/services agreement)', 'Multi-Origin with Partial ROA Coverage']",,
45.199.157.0/24,N/A,AS5065,['AS17561'],High,"The origin AS5065 and the authorized AS17561 are linked through multiple indicators: a documented prefix transfer or ownership change, shared organizational ties to Bunny Technology LLC, and co‑location in the Seychelles region. These factors point to a legitimate business relationship rather than a malicious hijack, making the conflict likely benign.",A benign conflict caused by an ownership/transfer or provider‑customer relationship between AS5065 and AS17561.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Shared Resource Management)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
45.201.236.0/24,N/A,AS142423,['AS17561'],Medium,"The origin AS142423 and the authorized AS17561 appear to have a delegated upstream‑downstream relationship, as indicated by IRR route objects and remarks such as ""HGC customer route‑object"". This suggests the conflict may stem from a misconfiguration or outdated ROA rather than a malicious hijack, although direct confirmation of a provider‑customer link is lacking.",Delegated upstream-downstream announcement leading to a misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
45.201.239.0/24,N/A,AS142423,['AS17561'],Medium,"The origin AS (AS142423) and the authorized AS (AS17561) share an upstream provider and operate in the same Asia‑Pacific region; IRR records and overlapping prefix announcements suggest a delegated or upstream‑downstream relationship, indicating the invalid route is likely due to a misconfiguration rather than a malicious hijack, though no direct provider‑customer or sibling relationship is confirmed.",Delegated/upstream‑downstream announcement causing a misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Shared Upstream or Operational Context Misconfiguration)', 'Prefix Transfer / Ownership Change']",,
45.202.113.0/24,N/A,AS209242,['AS395839'],Medium,"AS209242 (Cloudflare London) and AS395839 (HOSTKEY‑USA) are distinct organizations with no known direct ownership or sibling relationship. Both operate in the hosting/CDN space, and the prefix has previously been announced by AS209242, suggesting a possible delegated or upstream/downstream arrangement or a recent prefix transfer that has not been reflected in the ROA. The lack of concrete relationship data prevents a strong benign classification, but the operational overlap makes a benign conflict plausible.",Prefix transfer or delegated upstream/downstream announcement.,"['Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
45.202.208.0/24,N/A,AS138195,"['AS17561', 'AS44559']",Medium,"The origin AS138195 and the authorized ASes AS17561 and AS44559 are not known to belong to the same organization, and no direct provider‑customer or sibling relationship is evident. However, the prefix has previously been announced by AS44559 and the two ASes operate in overlapping regions, suggesting a possible delegated or upstream‑downstream arrangement and a multi‑origin situation. The lack of AS‑path data and concrete relationship evidence limits confidence, leading to a medium benign assessment.","Multi‑origin announcement with partial ROA coverage, possibly due to delegated or upstream‑downstream configuration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
45.202.248.0/22,N/A,AS40065,['AS61112'],Medium,"Both AS40065 and AS61112 are active and have announced overlapping prefixes, and IRR records suggest a possible upstream‑downstream (delegated) relationship, which could indicate a misconfiguration rather than a malicious hijack. However, there is no definitive evidence of a same‑organization or direct provider‑customer link, and the relationship is inferred mainly from regional proximity (Hong Kong) and shared prefix usage, leading to a medium confidence in the benign nature of the conflict.",Delegated/upstream-downstream announcement with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional/Operational Connection)']",,
45.202.67.0/24,N/A,AS138195,['AS152711'],Medium,"AS138195 announces the prefix 45.202.67.0/24 without a matching ROA, while the ROA authorizes AS152711. No direct provider‑customer, sibling, or organizational relationship is known between the two ASes. Both are registered in the APNIC region, indicating geographic proximity, but the lack of AS‑path information and any documented business link means the announcement could stem from a misconfiguration, multi‑origin setup, or delegated upstream/downstream arrangement rather than a clear hijack.",Possible misconfiguration leading to a multi‑origin or delegated upstream/downstream announcement with partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",,
45.204.191.0/24,N/A,AS10103,['AS17561'],Medium,"Both AS10103 (HK Broadband Network Ltd.) and AS17561 (LARUS Limited) are registered in the APNIC region and operate in Hong Kong, suggesting a possible delegated or upstream‑downstream relationship, such as a prefix transfer or third‑party CDN usage. However, there is no direct evidence of a formal customer‑provider, sibling, or organizational link, and the lack of AS path information prevents confirmation of a strong relationship, leading to a medium benign likelihood.","Delegated or upstream‑downstream announcement, possibly due to prefix transfer or third‑party CDN usage","['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential indirect cooperative announcements without updated ROA)', 'Multi-Origin with Partial ROA Coverage']",,
45.236.22.0/24,N/A,AS272533 (NETSPACE TELECOM LTDA),['AS268222 (FENIX TELECOM)'],Medium,"The origin AS AS272533 (NETSPACE TELECOM LTDA) and the authorized AS AS268222 (FENIX TELECOM) are both registered in Brazil under LACNIC, and the announced /24 is a more specific of the /22 prefix owned by the authorized AS. This suggests a possible delegated or upstream‑downstream relationship, such as a customer or subsidiary, but no public records confirm a direct business tie or shared organization. Consequently, the conflict is likely benign but the evidence is not strong enough for a high confidence assessment.",Delegated/upstream‑downstream announcement causing a ROA misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
45.62.164.0/24,N/A,AS834,"['AS6079', 'AS7018', 'AS7029', 'AS398465']",Medium,"The origin AS834 is not listed in any ROA for the prefix, while four other ASes are authorized, indicating a multi‑origin situation. Evidence of delegated or upstream‑downstream announcements and partial ROA coverage suggests a possible administrative or maintenance relationship (e.g., MAINT‑AS834 appearing in mnt‑by fields of the authorized ASes) and a history of route object maintenance, but no explicit same‑organization or strong provider‑customer link is evident.",Delegated/upstream‑downstream announcements leading to a multi‑origin setup with partial ROA coverage.,"['Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Administrative/Maintenance Relationship)', 'Prefix Transfer / Ownership Change']",,
50.114.182.0/24,N/A,AS51722,"['AS14618', 'AS16509']",Low,"The origin AS51722 (PIXOOF TEKNOLOJI ANONIM SIRKETI, Turkey) has no known business, provider‑customer, sibling, or organizational relationship with the authorized ASes AS14618 and AS16509, which belong to Amazon.com in the United States. There is no evidence of delegation, recent transfer, or shared infrastructure, and the geographic and organizational separation suggests the announcement is unlikely to be benign.",Hijack,"['Hijacks', 'Others (Misconfiguration without clear evidence of a benign relationship)']",,
50.31.161.0/24,N/A,AS22773,['AS212238'],Medium,"AS22773 (Cox Communications) announces the prefix while the ROA authorizes AS212238 (Datacamp Limited). No direct provider‑customer or ownership link is evident, but the presence of delegated/upstream‑downstream announcements and a history of prefix transfers or mergers suggests the conflict could stem from operational or traffic‑engineering practices rather than a malicious hijack.",Delegated/upstream‑downstream announcement or traffic‑engineering deaggregation related to a possible prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Prefix Transfer / Ownership Change', 'Hijacks']",,
50.93.221.0/24,N/A,AS16842,['AS46262'],High,"AS16842 and the authorized AS46262 appear to be in a customer‑provider relationship, as IRR records show a proxy registration for a downstream customer (AS16842) under AS46262. Both entities are located in the United States (Madison), indicating close geographic proximity, and the announcement lacks any suspicious patterns, suggesting the invalidity stems from a mis‑configured ROA that does not account for the downstream AS.",Delegated upstream‑downstream announcement with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
59.161.166.0/23,N/A,AS45820,"['AS4755', 'AS10199']",High,"The origin AS (AS45820) and the authorized ASes (AS4755 and AS10199) all belong to the Tata Communications group, indicating a strong organizational relationship; the prefix is primarily used in India, matching their operational region, and the announcement likely results from internal reassignment, delegated/upstream‑downstream announcements, or traffic‑engineering changes rather than a malicious hijack.",Internal reassignment or traffic‑engineering within the Tata group leading to a delegated/upstream‑downstream announcement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
64.202.103.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct provider‑customer, sibling, or same‑organization link between AS834 and the authorized AS212238, but both ASes announce prefixes within the same /19 block and a maintenance contact associated with AS834 appears on a route object for the prefix primarily announced by AS212238, suggesting a possible administrative or upstream/downstream relationship.",A delegated or upstream‑downstream arrangement resulting in a multi‑origin announcement with partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
66.225.199.0/24,N/A,AS834,['AS212238'],Medium,"AS834 (IPXO LLC) and the authorized AS212238 (CDNEXT) show indirect ties such as delegated or upstream‑downstream announcements and administrative involvement, and the prefix has previously been announced by AS212238. However, there is no confirmed same‑organization or direct provider‑customer relationship, making the evidence for a benign conflict moderate rather than strong.",Delegated/upstream-downstream announcement causing a multi-origin conflict.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
66.59.3.0/24,N/A,AS17358,"['AS14618', 'AS16509']",High,"The origin AS (AS17358) belongs to J2 Global, which recently acquired the less specific prefix 66.59.0.0/19 that was previously announced by AS16509 (Amazon). This ownership transfer creates a strong organizational link between the origin AS and the authorized ASes in the ROAs. The announced /24 exceeds the maximum length allowed by the existing ROAs, indicating a likely misconfiguration after the transfer rather than a malicious hijack.",Prefix transfer or ownership change leading to outdated ROA information.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
68.234.63.0/24,N/A,AS26801,['AS3580'],High,"The origin AS26801 has been announcing the more-specific prefix 68.234.63.0/24 since 2019, while the ROA for the covering prefix 68.234.48.0/20 is assigned to AS3580. Historical records show a transfer of ownership of the parent prefix from Affiniti PA LLC to Planet Networks (AS3580) and a subsequent merger/acquisition that involved Zito Media (AS26801). This suggests a provider‑customer or sibling relationship between the two US‑based operators, making the invalid validation most likely a result of an outdated or mis‑configured ROA rather than a malicious hijack.",Misconfigured or outdated ROA resulting from a prefix transfer/ownership change between the ASes.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
68.67.65.0/24,N/A,AS13335,"['AS1299', 'AS19844']",High,"AS13335 (Cloudflare) is a CDN and edge‑service provider that frequently announces prefixes on behalf of its customers. The authorized ASes in the ROAs are AS1299 (Arelion) and AS19844 (SBA Edge); the /24 is a more specific announcement of a larger prefix originally announced by SBA Edge. This pattern indicates a third‑party announcement relationship rather than a malicious hijack, making the conflict likely benign despite the ROA mismatch.","Third‑party announcement by Cloudflare on behalf of a customer (e.g., SBA Edge).","['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Traffic Engineering / Deaggregate Mismatches', 'Third-Party Announcements (CDNs, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
69.172.128.0/24,N/A,AS26627,['AS3580'],High,"The origin AS (AS26627) and the authorized AS (AS3580) have a historical organizational relationship, with a prefix transfer/ownership change from Pilosoft to Planet Networks around 2009‑2018. AS26627 has been consistently announcing the /24 since 2018, but the ROA still lists only AS3580, indicating an unupdated ROA after the transfer. This points to a benign conflict caused by misconfiguration rather than a malicious hijack.",Unupdated ROA records after a prefix transfer/ownership change.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
70.61.246.0/24,N/A,AS8001,"['AS40715', 'AS10796']",High,"Both AS8001 and the authorized AS40715 are owned by Cologix Inc., indicating a strong organizational relationship; the prefix has undergone a transfer/ownership change within the company, and historical announcements show internal delegation, making the RPKI invalidity likely due to an internal misconfiguration rather than a malicious hijack.","Internal misconfiguration after a prefix transfer within the same organization, leading to partial ROA coverage.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
74.117.216.0/21,N/A,AS22773,"['AS7029', 'AS399989']",Medium,"The origin AS (AS22773, Cox Communications) announces a prefix whose ROAs authorize AS7029 (Windstream) and AS399989. Both AS22773 and AS7029 are major US telecommunications providers, suggesting a possible business relationship such as provider‑customer or peering, and the prefix is located in the United States, indicating geographic proximity. However, there is no concrete evidence of a same‑organization or subsidiary link, and the involvement of the smaller AS399989 adds uncertainty, leading to a medium benign assessment.",Delegated/upstream‑downstream announcements with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Others (Potential Internal Reorganization or Undisclosed Peering Agreement between closely related ASes)', 'Multi-Origin with Partial ROA Coverage']",,
75.102.11.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 show evidence of a possible operational relationship, such as a recent prefix transfer or ownership change and shared maintainer records, which suggests delegated or upstream-downstream announcements. However, there is no direct confirmation of a same‑organization or strong provider‑customer link, making the benign assessment only moderate.",Prefix transfer or ownership change leading to delegated upstream-downstream announcements.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative/Operational Linkage)']",,
75.102.28.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 show an administrative connection indicated by the IRR maintainer record and have historically announced the prefix together, suggesting a possible delegated or transfer relationship, but there is no direct evidence of same‑organization, provider‑customer, or sibling ties, leading to a medium confidence in benignity.",Multi-origin announcement with partial ROA coverage possibly due to a prefix transfer or delegated upstream/downstream relationship.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",,
76.191.90.0/23,N/A,AS55044,"['AS11404', 'AS54858']",High,"The origin AS (AS55044) and the authorized ASes (AS11404 and AS54858) are all part of Wave Broadband or its subsidiaries, indicating a strong organizational relationship. The prefix has been transferred within the same corporate group, and the more specific announcement by AS55044 reflects an internal downstream routing arrangement that is not covered by the existing ROA, making the conflict benign.","Delegated/upstream‑downstream announcement following a prefix transfer/ownership change, resulting in partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
77.37.57.0/24,N/A,AS204843,"['AS47583', 'AS31400']",Medium,"There is no clear provider‑customer, sibling, or organizational link between AS204843 and the authorized ASes, but both announce prefixes within the same larger address space (77.0.0.0/8 and the encompassing 77.37.56.0/21). This suggests a possible delegated or upstream‑downstream relationship and partial ROA coverage, indicating a circumstantial but not definitive benign context.",Delegated/upstream‑downstream announcements resulting in partial ROA coverage and a possible misconfiguration.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
82.163.60.0/22,N/A,AS834,['AS3320'],Medium,"AS834 (IPXO LLC) announces the prefix that is authorized to AS3320 (Deutsche Telekom AG). IRR records show a maintenance attribute linking AS834 to the prefix, indicating a delegated or third‑party announcement, but there is no clear provider‑customer, sibling, or ownership relationship between the two entities. Consequently, the evidence points to a possible operational hand‑off rather than a malicious hijack, resulting in a medium benign likelihood.",Delegated or third‑party announcement by IPXO on behalf of Deutsche Telekom.,"['Delegated / Upstream-Downstream Announcements', 'Others', 'Third-Party Announcements (e.g., CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",,
83.137.159.0/24,N/A,AS834,['AS5065'],Medium,"The origin AS834 and the authorized AS5065 share circumstantial links such as registration in the same regional registry and an IRR maintenance record that ties AS834 to the prefix owned by AS5065, suggesting a possible delegated or upstream-downstream relationship. However, there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization relationship, and the situation is consistent with an operational or configuration misconfiguration, leading to a medium likelihood of a benign conflict.",Operational or configuration misconfiguration between the origin and authorized ASes.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change (potential, but transfer history does not directly support this for the exact prefix)', 'Traffic Engineering / Deaggregate Mismatches']",,
83.219.96.0/24,N/A,AS834,['AS137409'],Medium,"The prefix 83.219.96.0/24 has a history of ownership transfer and has been announced by both AS834 and AS137409; IRR records show a maintainer object MAINT‑AS834 linked to AS137409, indicating an administrative or operational connection. However, no direct customer‑provider, sibling, or same‑organization relationship is evident, so the RPKI‑invalid announcement is likely a benign conflict arising from misconfiguration or outdated ROA data.",Misconfiguration due to ownership/administrative changes and outdated ROA information.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Administrative/Operational Linkage via IRR Records)', 'Multi-Origin with Partial ROA Coverage']",,
84.255.168.0/24,N/A,AS45474,['AS5416'],High,"AS45474 (Nexusguard) is a known DDoS mitigation provider and AS5416 (BEYON) is the registered holder of the prefix. The announcement is likely a third‑party announcement where the mitigation provider advertises on behalf of its customer, a common operational practice for traffic engineering or security services. While public confirmation of the exact relationship is absent, the pattern aligns with a provider‑customer arrangement rather than a malicious hijack.",Third‑party announcement for DDoS mitigation services,"['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (Potential Regional Service Partnership)', 'Hijacks']",,
