prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
212.116.252.0/22,N/A,AS834,"['AS7018', 'AS7029']",Medium,"AS834 appears to have a possible upstream-downstream or delegated relationship with the authorized ASes, particularly AS7029, as suggested by shared US geolocation and maintainer overlap, and the prefix has historically been announced by both AS7029 and AS7018. However, there is no direct evidence of a same‑organization or strong provider‑customer link, making the benign nature only partially supported.","Delegated/upstream-downstream announcement with partial ROA coverage, possibly due to an administrative or customer‑provider relationship.","['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Maintainer Overlap indicating Administrative Ties)']",weak relationship
216.10.10.0/24,N/A,AS834,['AS396163'],High,"The origin AS834 and the authorized AS396163 share an administrative relationship, as the route object's maintainer is set to MAINT-AS834, indicating a delegated or provider‑customer arrangement. This strong operational link makes the RPKI‑invalid announcement likely a benign conflict, despite some history of prefix transfers.","Delegated/upstream-downstream announcements reflecting an administrative relationship, possibly influenced by recent prefix transfer.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
216.246.2.0/24,N/A,AS834,['AS396356'],High,"AS834 is announcing the prefix on behalf of AS396356, indicating a delegated or upstream‑downstream relationship. IRR data shows a route object for AS396356 maintained by MAINT‑AS834, confirming a maintenance/administrative link. No other signs of malicious activity are present, supporting a benign conflict classification.",Delegated/upstream‑downstream announcement due to a maintenance relationship between AS834 and AS396356.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
216.246.22.0/24,N/A,AS834,['AS212238'],Medium,"The announcement creates a conflict between AS834 and the authorized AS212238. Evidence suggests a possible prefix transfer or ownership change and a delegated upstream/downstream relationship, with RIPEstat data showing a shared maintenance attribute that may indicate shared management. However, there is no direct confirmation of a same‑organization, customer‑provider, or sibling relationship, leaving the benign nature uncertain.",Possible prefix transfer or delegated upstream/downstream relationship causing the ROA conflict.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Shared Management/Misconfiguration)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
216.246.32.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 does not appear as the authorized holder in the ROA, and there is no direct organizational link to AS212238. However, IRR data shows the prefix is maintained by AS834 (mnt-by: MAINT-AS834), suggesting some administrative control or delegated relationship, and the prefix has a history of transfers that could indicate a legitimate ownership change or customer‑provider arrangement. These circumstantial factors point to a possible benign conflict, though the evidence is not strong enough to deem it highly reliable.",Delegated/upstream-downstream announcement possibly resulting from a prefix transfer or outdated ROA information.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",weak relationship
216.246.93.0/24,N/A,AS834,['AS212238'],High,"The prefix is part of a larger block that has undergone ownership transfer, and RIPEstat data shows a maintainer attribute linking AS834 and AS212238, indicating an administrative or operational relationship (e.g., provider‑customer or sibling). This suggests the invalid announcement stems from delegated upstream‑downstream announcements or an outdated ROA after the transfer, rather than a malicious hijack.",The conflict likely results from a recent prefix ownership/transfer and delegated upstream‑downstream announcements that were not reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
23.133.1.0/24,N/A,AS35913,['AS7489'],Medium,"The origin AS AS35913 and the authorized AS AS7489 are both hosting providers registered in the ARIN region (US), suggesting a possible upstream‑downstream or past ownership relationship. The invalid announcement likely stems from a misconfiguration or a recent prefix transfer that has not been reflected in the ROA, rather than a malicious hijack.",Misconfiguration or recent prefix transfer in a customer‑provider relationship.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same region
23.133.2.0/24,N/A,AS35913,['AS7489'],Medium,"AS35913 is a smaller network that announces the same /24 that is authorized to AS7489. Both ASes are registered in the United States and the pattern is consistent with a delegated or upstream‑downstream arrangement where the downstream customer announces space on behalf of the holder. No concrete evidence of a direct provider‑customer or organizational link is available, but the regional proximity and typical managed‑announcement practices suggest a likely benign conflict.",Delegated / upstream‑downstream announcement by a downstream customer of the authorized AS.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
23.252.77.0/24,N/A,AS3257,['AS19257'],Medium,"AS3257 (GTT Communications) and AS19257 (SUBRIGO CORPORATION) have both announced the 23.252.77.0/24 prefix since 2013. The authorized ROA lists AS19257, while AS3257 is currently originating the route, suggesting a historical delegation or upstream/downstream arrangement. However, there is no concrete evidence of a current provider‑customer, sibling, or same‑organization relationship, leaving the exact nature of the link uncertain.",Historical delegation or upstream/downstream relationship resulting in partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Shared Resource Management)']",weak relationship
23.252.78.0/24,N/A,AS3257,['AS19257'],Medium,"Both AS3257 (GTT Communications) and AS19257 (SUBRIGO) announce the same /24 prefix. Historical data and RIPEstat indicate a possible delegated or upstream‑downstream relationship, suggesting a business link such as a provider‑customer arrangement, but there is no concrete evidence of a same‑organization or direct contractual relationship, leaving the conflict only partially explained.",Delegated/upstream-downstream announcement resulting from historical resource transfer,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
23.26.234.0/24,N/A,AS211432,['AS211439'],Medium,"Both AS211432 and the authorized AS211439 are registered in Lithuania and belong to the same RIPE NCC AS number block, suggesting a possible business or delegated relationship. However, there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization link, and the announcement could be a result of delegated/upstream‑downstream or multi‑origin configuration issues, leading to a medium benign assessment.",Delegated/upstream-downstream announcement or multi-origin with partial ROA coverage due to misconfiguration between related ASes.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration between Closely Related ASes)']",weak relationship
37.1.228.0/24,N/A,AS834,"['AS29802', 'AS61317']",High,"The origin AS834 and the authorized ASes AS29802 and AS61317 are closely linked through organizational ties: AS61317 was transferred from IPXO UK Limited to Hivelocity Inc., and both AS29802 and AS61317 are associated with Hivelocity, while AS834 belongs to IPXO LLC. Maintenance records also show that the prefix is managed under MAINT‑AS834 for AS61317, indicating a delegated or upstream‑downstream relationship within the same organization.",Delegated/upstream‑downstream announcements resulting from organizational changes.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Organizational Changes/Misconfiguration)']",same organization
37.1.231.0/24,N/A,AS834,"['AS29802', 'AS61317']",High,"The origin AS834 and the authorized AS61317 are closely linked through an ownership transfer from IPXO UK Limited to Hivelocity Inc., indicating they belong to the same organization or affiliate. Maintenance records also tie AS834 to AS61317, and both operate network services, suggesting a provider‑customer or sibling relationship. The presence of AS29802 in the ROA does not conflict with this relationship. These factors point to a misconfiguration during a prefix transfer rather than a malicious hijack.",The invalid announcement likely results from a prefix transfer or organizational change causing a misconfigured ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Organizational Changes/Misconfiguration)']",same organization
45.149.186.0/24,N/A,AS834,['AS61112'],Medium,"There is no direct customer‑provider, sibling, or same‑organization link between AS834 and the authorized AS61112. However, the IRR records show a maintainer attribute (MAINT‑AS834) for the prefix, indicating an administrative or delegated relationship that could cause a misconfiguration. This circumstantial evidence suggests the invalid announcement may stem from a delegated or multi‑origin setup rather than a deliberate hijack, but the lack of concrete business ties keeps the benign likelihood at a medium level.",The invalid route likely results from a misconfigured delegated or multi‑origin announcement rather than an intentional hijack.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Oversight)']",weak relationship
45.154.107.0/24,N/A,AS834,"['AS199737', 'AS212384']",High,"The maintainer object MAINT‑AS834 is linked to route objects for both AS199737 and AS212384, indicating an administrative or operational relationship (e.g., provider‑customer or sibling). This suggests the announcement by AS834 is likely a delegated or upstream‑downstream announcement rather than a malicious hijack, making the conflict probably benign.",Delegated/upstream‑downstream announcement with partial ROA coverage causing a misconfiguration.,"['Prefix Transfer / Ownership Change', 'Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
45.167.110.0/24,N/A,AS271350,['AS267999'],Medium,"Both AS271350 and AS267999 are registered in the LACNIC region and are geographically located in Brazil, indicating a regional proximity. The lack of explicit provider‑customer, sibling, or organizational ties suggests the invalid announcement may stem from a delegated or upstream‑downstream configuration error or shared infrastructure, but the evidence is not strong enough to confirm a direct relationship.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Others (Potential Shared Infrastructure/Collaboration within LACNIC Registry)', 'Multi-Origin with Partial ROA Coverage']",same region
45.167.53.0/24,N/A,AS269270,['AS267991'],Medium,"The origin AS (AS269270) and the authorized AS (AS267991) are both registered in LACNIC and geolocated in Brazil, suggesting a possible regional or operational connection. Historical announcements show the prefix was previously originated by AS267991, and the recent announcement by AS269270 may reflect a recent network change, prefix transfer, or an upstream/downstream delegation that resulted in partial ROA coverage. No direct customer‑provider, sibling, or organizational relationship is evident, leaving the conflict ambiguous but not clearly malicious.",Possible prefix transfer or upstream/downstream delegation causing partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration between Related ASes)', 'Prefix Transfer / Ownership Change']",same region
45.202.248.0/22,N/A,AS40065,['AS61112'],Medium,"There is no direct evidence of a customer‑provider, sibling, or same‑organization relationship between AS40065 and AS61112. Both ASes are located in Hong Kong and have announced overlapping prefixes at different times, suggesting a possible upstream‑downstream or shared‑infrastructure arrangement, but the data lacks explicit confirmation of such a link.","Multi-origin announcements with partial ROA coverage, possibly due to delegated or upstream-downstream relationships.","['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional/Operational Connection)']",same region
45.62.164.0/24,N/A,AS834,"['AS6079', 'AS7018', 'AS7029', 'AS398465']",Medium,"The origin AS834 appears in the maintainer fields of IRR objects for the authorized ASes, suggesting a delegated or upstream/downstream relationship, and the prefix is announced by multiple ASes, indicating a multi‑origin scenario with partial ROA coverage; however, there is no explicit evidence of a same‑organization or strong provider‑customer link.",Delegated/upstream-downstream announcements resulting in multi‑origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
45.89.148.0/24,N/A,AS205320,['AS29208'],Medium,"The origin AS205320 and the authorized AS29208 have no known direct customer‑provider, sibling, or organizational link. Both ASes are registered in the RIPE NCC region, and the announced /24 is a more specific of a /23 prefix originated by AS29208, which can occur in delegated or upstream‑downstream scenarios. While the lack of concrete relationship data reduces confidence, the regional proximity and prefix hierarchy suggest a possible benign conflict, leading to a medium benign level.","Delegated/upstream‑downstream announcement or multi‑origin with partial ROA coverage, possibly due to misconfiguration.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",same region
50.114.182.0/24,N/A,AS51722,"['AS14618', 'AS16509']",Low,"The origin AS51722, a Turkish company, and the authorized ASes AS14618 and AS16509, both owned by Amazon in the United States, have no apparent business, technical, or customer‑provider relationship, indicating the invalid announcement is unlikely to be a benign conflict.",Likely a misconfiguration or hijack by AS51722.,['Hijacks'],no relationship
50.31.161.0/24,N/A,AS22773,['AS212238'],Low,"AS22773 (Cox Communications) and AS212238 (Datacamp Limited) show no known provider‑customer, sibling, or organizational relationship; they operate in different regions (US vs Japan) and there is no evidence of shared infrastructure or joint operations, making the invalid announcement more consistent with a hijack or misconfiguration rather than a benign conflict.",Hijack or Misconfiguration,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Others (Potential Regional Partnership or Peering Agreement not publicly disclosed)', 'Prefix Transfer / Ownership Change', 'Hijacks']",no relationship
64.202.103.0/24,N/A,AS834,['AS212238'],High,"AS834 (IPXO LLC) is an IP address leasing provider and appears to act as an upstream for AS212238 (CDNEXT - Datacamp Limited). A maintenance contact links both ASes, indicating an operational relationship. The announcement likely represents a delegated upstream‑downstream announcement rather than a malicious hijack, and no suspicious patterns are observed.",Delegated upstream-downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
64.40.148.0/24,N/A,AS211432,"['AS211439', 'AS212609']",Medium,"The origin AS (AS211432) and the authorized ASes (AS211439, AS212609) belong to the same RIPE NCC allocation and are likely in the same geographic region, suggesting a possible upstream‑downstream or delegated relationship. Historical announcements by AS211439 indicate a recent prefix transfer or operational hand‑off, but no concrete evidence of a same‑organization or direct provider‑customer link is present, resulting in a medium benign assessment.",A delegated or upstream‑downstream announcement possibly combined with a recent prefix transfer resulting in a misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",same region
66.225.199.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct business or organizational link between AS834 and the authorized AS212238; the prefix is registered to AS212238, indicating it is the legitimate holder. However, an IRR record shows the prefix maintained by MAINT‑AS834, suggesting an administrative or delegated relationship such as an upstream‑downstream or third‑party (e.g., CDN) arrangement. This circumstantial evidence points to a possible benign misconfiguration rather than a clear hijack, though the lack of strong relationship data prevents a high confidence rating.","Delegated/upstream‑downstream or third‑party announcement (e.g., CDN) causing the conflict.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
68.67.199.0/24,N/A,AS62579,['AS834'],Medium,"The origin AS62579 and the authorized AS834 have no known direct business or organizational link; both operate in the United States and AS834 has historically announced the prefix. The conflict may stem from delegated or upstream‑downstream arrangements, a possible recent ownership transfer, or a simple misconfiguration. Absence of AS‑path data and transfer history prevents a definitive benign classification, but the circumstantial evidence points to a likely benign conflict rather than a malicious hijack.",The conflict likely results from a delegated/upstream‑downstream announcement or a recent ownership change.,"['Delegated / Upstream-Downstream Announcements', 'Others', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (unseen agreement or indirect service relationship)', 'Prefix Transfer / Ownership Change']",weak relationship
68.67.65.0/24,N/A,AS13335,"['AS1299', 'AS19844']",High,"AS13335 (Cloudflare) is a well‑known CDN and DDoS‑mitigation provider that frequently announces more‑specific prefixes on behalf of its customers. The prefix is a sub‑prefix of a larger block that has been transferred to SBA Edge (AS19844), indicating a legitimate service relationship between Cloudflare and this authorized AS. Although no direct link to AS1299 is evident, the customer‑provider relationship with AS19844 and the common practice of third‑party announcements for traffic engineering support a high benign likelihood.",Third‑party CDN/DDoS‑mitigation announcement by Cloudflare on behalf of an authorized AS.,"['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Traffic Engineering / Deaggregate Mismatches', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",strong relationship
69.166.230.0/24,N/A,AS212238,['AS40352'],Medium,"There is no direct provider‑customer, sibling, or organizational relationship between AS212238 and the authorized AS40352; both ASes are active and have announced the prefix at different times, but no evidence of a transfer or shared infrastructure exists. The lack of relationship data suggests the invalid announcement may stem from a misconfiguration, third‑party CDN/cloud edge usage, or recent operational changes rather than a deliberate hijack.","Misconfiguration or third‑party announcement (e.g., CDN/cloud edge) without an updated ROA.","['Hijacks', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Lack of ROA Update)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",no relationship
70.61.246.0/24,N/A,AS8001,"['AS40715', 'AS10796']",High,"AS8001 and the authorized ASes (AS40715, AS10796) are owned by Cologix, Inc., indicating a strong organizational relationship. A recent merger/acquisition and prefix ownership transfer have led to internal reorganization, causing the origin AS to differ from the ROA while the prefix has historically been announced by both ASes. The lack of geographic or economic distance further supports that the conflict is benign.",Internal reorganization after a prefix ownership transfer resulting in partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",same organization
75.102.11.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 appear to be linked through a recent prefix transfer or ownership change, as reflected in IRR records where the maintainer references AS834 and in delegated/upstream‑downstream announcements. Both ASes have previously announced the prefix, indicating a possible operational overlap, but there is no clear provider‑customer or same‑organization relationship. Consequently, the invalid route is most likely a misconfiguration resulting from the transfer rather than a malicious hijack.",Prefix transfer or ownership change causing a misconfiguration.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Overlap in Administrative Responsibilities)']",weak relationship
75.102.28.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 have a history of prefix transfer and shared announcements, and IRR records list MAINT-AS834 as a maintainer, indicating an administrative connection. While there is no direct evidence of a same‑organization or provider‑customer relationship, the repeated delegation suggests a possibly benign relationship rather than a malicious hijack.",Prefix transfer / ownership change with delegated upstream-downstream announcements,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
75.102.29.0/24,N/A,AS834,['AS212238'],Medium,"There is circumstantial evidence that AS834 and the authorized AS212238 may have a delegated or upstream-downstream relationship, possibly involving prefix transfer or shared services, but no direct proof of ownership, customer‑provider, or sibling ties is available, leading to a medium assessment of benignity.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Third-Party Announcements (e.g., IPXO providing services to CDNEXT)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
77.242.156.0/24,N/A,AS834,['AS5065'],Low,"There is no evidence of a close relationship between AS834 and the authorized AS5065; they belong to different organizations (IPXO LLC and Bunny Communications) and have no known customer‑provider, sibling, or shared‑infrastructure ties. The prefix has historically been associated with AS5065, and the lack of any operational or geographic linkage suggests the invalid announcement is unlikely to be a benign configuration overlap.",BGP hijack,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",no relationship
81.22.130.0/24,N/A,AS834,['AS61317'],High,"The origin AS834 and the authorized AS61317 are both associated with IPXO (AS834’s holder name includes “IPXO” and AS61317’s transfer history references “IPXO UK LIMITED”), and both are registered under RIPE NCC, indicating a likely organizational relationship. Historical resource transfer data suggests the prefix may have been delegated from AS61317 to AS834, which would explain the ROA mismatch without implying malicious intent. While no explicit provider‑customer or sibling relationship is documented, the shared ownership and possible delegation point to a benign conflict rather than a hijack.",Delegated/upstream‑downstream announcement due to a prefix transfer or multi‑origin configuration.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration in ROA/Route Origination)', 'Traffic Engineering / Deaggregate Mismatches']",same organization
82.153.32.0/24,N/A,AS49468,"['AS211936', 'AS400909', 'AS8851', 'AS19905']",Medium,"The origin AS 49468 is not listed in the ROAs, while the authorized ASes include AS400909, AS211936, AS8851, and AS19905. Evidence shows a recent ownership or prefix transfer and that AS49468 and AS400909 share the same geographic location (London, GB). The prefix is announced by both AS49468 and AS400909, indicating a multi‑origin, delegated upstream/downstream arrangement. These factors point to a likely benign misconfiguration rather than a malicious hijack.","The conflict likely arises from a recent ownership transfer leading to a multi‑origin, delegated upstream/downstream announcement.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",same region
82.163.60.0/22,N/A,AS834,['AS3320'],Medium,"The origin AS834 and the authorized AS3320 show circumstantial evidence of an operational relationship: IRR records reference a maintenance object MAINT‑AS834 for the prefix, suggesting administrative linkage, and the announcements appear to be delegated or upstream‑downstream in nature. However, there is no definitive proof of a direct provider‑customer, sibling, or same‑organization relationship, making the benign nature plausible but not certain.",Delegated or upstream‑downstream announcements by a third‑party service causing a ROA mismatch.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
83.137.159.0/24,N/A,AS834,['AS5065'],Medium,"The announcement is invalid because the origin AS (AS834) does not match the authorized AS (AS5065) in the ROA, but both ASes are active and an IRR maintenance record links AS834 to the prefix owned by AS5065, suggesting a possible administrative or ownership change. No direct provider‑customer, sibling, or same‑organization relationship is evident, so the evidence points to a moderate likelihood of a benign misconfiguration rather than a clear hijack.",Misconfiguration or ownership/administrative change causing a mismatch between the origin AS and the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
83.219.96.0/24,N/A,AS834,['AS137409'],Medium,"The origin AS834 and the authorized AS137409 are not directly linked through a clear provider‑customer or same‑organization relationship. However, the prefix has a history of ownership transfer, the RIPEstat maintainer object (MAINT‑AS834) is associated with the prefix, and IRR records show AS137409 previously announcing the prefix, indicating an administrative or legacy operational connection that could cause a benign misconfiguration.",Operational misconfiguration stemming from legacy prefix transfer or delegated upstream/downstream announcements.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Outdated ROA Records)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
84.32.45.0/24,N/A,AS834,['AS142036'],High,"The origin AS834 (IPXO LLC) and the authorized AS142036 (Hosteons Pte. Ltd.) are linked through the IRR maintainer MAINT‑AS834, indicating a direct administrative relationship that is typical of provider‑customer or sibling arrangements; such close ties commonly result in benign conflicts despite the lack of AS path data.",Delegated/upstream-downstream announcements leading to a multi‑origin situation with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
84.46.171.0/24,N/A,AS834,['AS212238'],Medium,"AS834 (IPXO LLC) and AS212238 (CDNEXT - Datacamp Limited) are distinct organizations with no known provider‑customer, sibling, or same‑organization relationship. However, RIPEstat data shows a maintenance record (mnt‑by: MAINT‑AS834) linking the prefix to AS834, indicating some shared administrative responsibility or delegated management. This suggests a possible benign conflict arising from shared resource management, though the evidence is not strong enough to confirm a close operational relationship.",Delegated or shared resource management resulting in multi‑origin announcements,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Shared Resource Management', 'Others (Potential Shared Administrative Responsibilities)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
85.208.44.0/23,N/A,AS834,['AS5065'],Medium,"Historical evidence shows AS834 previously announced the prefix and an IRR record lists AS834 as the maintainer, indicating a possible transfer or delegated announcement to AS5065 (Bunny Communications). While this suggests a business or administrative relationship, there is no direct provider‑customer, sibling, or same‑organization link, making the conflict likely benign but not definitively high confidence.",Prefix transfer or ownership change with incomplete ROA updates leading to partial multi‑origin coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Oversight or Incomplete Configuration)']",weak relationship
85.208.46.0/24,N/A,AS834,"['AS54339', 'AS209697', 'AS401838']",High,"RIPEstat data shows that the maintainer MAINT‑AS834, associated with the origin AS834, holds route objects for the authorized ASes AS54339, AS209697 and AS401838, indicating an administrative or delegated relationship. Although CAIDA relationship data does not list a direct provider‑customer or sibling link, the presence of shared route objects and historical multi‑origin usage suggest the announcement is likely a misconfiguration within a closely related set of ASes rather than a malicious hijack.",Misconfiguration due to delegated upstream‑downstream announcements and partial ROA coverage among related ASes.,"['Prefix Transfer / Ownership Change', 'Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
86.38.5.0/24,N/A,AS834,"['AS212238', 'AS1239', 'AS7029']",Medium,"AS834, operated by IPXO LLC, is a leasing provider that often announces prefixes on behalf of other networks. The ROAs for the prefix list AS212238 (CDNEXT), AS1239 and AS7029 as authorized origins. RIPEstat data shows the prefix is located in Stockholm, Sweden, and the IRR records contain a maintainer field (MAINT‑AS834) linking AS834 to the prefix, indicating an administrative or upstream/downstream relationship. While there is no direct ownership link between AS834 and the authorized ASes, the evidence of a leasing or provider‑customer arrangement and the shared regional location suggest the invalid announcement is likely a benign conflict rather than a malicious hijack.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)']",weak relationship
87.120.5.0/24,N/A,AS200385,['AS211437'],Low,"There is no evidence of a business or organizational relationship between AS200385 and the authorized AS211437. AS200385 is linked to a Turkish company, while AS211437 is associated with a UK‑based entity, and no provider‑customer, sibling, or same‑organization links are observed. The prefix is normally originated by AS211437, and the announcement from AS200385 is not reflected in RIS data, indicating it is likely not a legitimate origin. Although an IRR record change around the same time suggests a possible recent transfer, no concrete connection between the two ASes is found, so the conflict is best regarded as a hijack or misconfiguration.",Hijack or misconfiguration due to lack of relationship between origin and authorized AS.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",no relationship
88.151.57.0/24,N/A,AS7029,"['AS5065', 'AS834']",Low,"The origin AS7029 (Windstream Communications) does not share any known organizational, customer‑provider, or sibling relationship with the authorized ASes AS5065 (Bunny Communications) and AS834 (IPXO LLC). Although all three operators are based in the United States, geographic proximity alone is insufficient to explain the invalid announcement. Consequently, the invalid route is most likely the result of a hijack or misconfiguration rather than a benign operational practice.",BGP hijack or misconfiguration.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Potential Misconfigured or Outdated ROA Records)', 'Misconfiguration']",no relationship
88.209.201.0/24,N/A,AS209260,['AS834'],Medium,"The origin AS (AS209260) and the authorized AS (AS834) have no clear direct relationship; however, the prefix has a history of transfers and is geolocated in Hungary, suggesting a possible local or delegated arrangement. There are no obvious malicious patterns, and the situation likely stems from upstream/downstream delegation or a ROA misconfiguration rather than an intentional hijack.",Delegated or upstream-downstream announcement resulting from a prefix transfer or ROA misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration in ROA/Route Management)', 'Prefix Transfer / Ownership Change']",same region
